HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459656.04634,2022-03-17.5455111,bC,1.47,16.416,14.437,0.035,6.098,0.198,g
2459658.91958,2022-03-20.4186127,bs,1.56,16.420,14.497,0.037,5.773,0.197,g
2459658.92082,2022-03-20.4198509,bs,1.49,16.318,14.443,0.039,6.062,0.217,g
2459658.92206,2022-03-20.4210893,bs,1.55,16.328,14.430,0.038,6.140,0.214,g
2459659.84569,2022-03-21.3446781,bs,1.52,16.226,14.394,0.040,6.345,0.236,g
2459659.84693,2022-03-21.3459174,bs,1.66,16.225,14.376,0.040,6.451,0.236,g
2459659.84817,2022-03-21.3471555,bs,1.63,16.287,14.369,0.037,6.489,0.223,g
2459659.85716,2022-03-21.3561521,bs,1.56,16.273,14.526,0.044,5.620,0.226,g
2459659.85842,2022-03-21.3574048,bs,1.56,16.234,14.398,0.040,6.326,0.234,g
2459659.85967,2022-03-21.3586570,bs,1.46,16.360,14.495,0.039,5.780,0.208,g
2459659.97082,2022-03-21.4698042,bs,1.67,16.435,14.476,0.036,5.884,0.195,g
2459659.97207,2022-03-21.4710564,bs,1.60,16.447,14.428,0.034,6.150,0.192,g
2459659.97331,2022-03-21.4722946,bs,1.56,16.504,14.528,0.035,5.607,0.183,g
2459663.94876,2022-03-25.4475670,bC,1.45,16.847,14.444,0.024,6.063,0.134,g
2459663.95002,2022-03-25.4488207,bC,1.46,16.840,14.455,0.024,6.001,0.134,g
2459663.95128,2022-03-25.4500849,bC,1.48,16.834,14.439,0.024,6.083,0.135,g
2459666.94573,2022-03-28.4443912,bC,1.38,16.923,14.465,0.023,5.945,0.125,g
2459666.94699,2022-03-28.4456550,bC,1.42,16.910,14.474,0.023,5.892,0.126,g
2459666.94826,2022-03-28.4469262,bC,1.42,16.905,14.497,0.024,5.767,0.127,g
2459670.94105,2022-04-01.4395358,bC,1.44,16.881,14.501,0.024,5.750,0.130,g
2459670.94231,2022-04-01.4407978,bC,1.48,16.889,14.448,0.023,6.036,0.129,g
2459670.94357,2022-04-01.4420586,bC,1.49,16.896,14.483,0.024,5.844,0.128,g
2459672.96371,2022-04-03.4621209,bs,1.45,16.934,14.492,0.023,5.802,0.123,g
2459672.96496,2022-04-03.4633710,bs,1.46,16.960,14.487,0.022,5.824,0.121,g
2459672.96620,2022-04-03.4646142,bs,1.45,16.942,14.503,0.023,5.737,0.122,g
2459674.79418,2022-04-05.2925060,bs,1.56,16.837,14.469,0.025,5.921,0.135,g
