MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126109011088,16.170,0.072,335.99575,25.74048,56456.37679,0
1126109011088,16.191,0.071,335.99580,25.74049,56537.29532,0
1126109011088,16.170,0.071,335.99581,25.74049,56537.29868,0
1126109011088,16.159,0.070,335.99576,25.74051,56537.30199,0
1126109011088,16.176,0.071,335.99576,25.74049,56537.30538,0
1126109011088,16.229,0.078,335.99590,25.74047,56551.21860,0
1126109011088,16.289,0.079,335.99592,25.74047,56551.22267,0
1126109011088,16.203,0.077,335.99585,25.74051,56551.22675,0
1126109011088,16.163,0.076,335.99582,25.74047,56551.23087,0
1126109011088,16.202,0.068,335.99579,25.74048,56561.21714,0
1126109011088,16.223,0.069,335.99579,25.74047,56561.22210,0
1126109011088,16.218,0.069,335.99579,25.74047,56561.22717,0
1126109011088,16.216,0.069,335.99577,25.74049,56561.23227,0
1126109011088,16.270,0.070,335.99584,25.74041,56577.08937,0
1126109011088,16.241,0.070,335.99582,25.74047,56577.09489,0
1126109011088,16.238,0.070,335.99578,25.74047,56577.10053,0
1126109011088,16.241,0.070,335.99581,25.74047,56577.10613,0
1126109011088,16.162,0.069,335.99576,25.74048,56589.11997,0
1126109011088,16.152,0.069,335.99577,25.74048,56589.12554,0
1126109011088,16.153,0.069,335.99582,25.74050,56589.13113,0
1126109011088,16.176,0.069,335.99581,25.74048,56589.13674,0
